marka,seri,model,yıl,km,vites,yakıt,kasa_tipi,motor_hacmi,motor_gücü,çekiş,fiyat
Audi,A3,A3 Sedan 1.6 TDI Attraction,2015,262000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,530000
Audi,A1,1.4 TFSI Ambition,2011,197000,Yarı Otomatik,Benzin,Hatchback/3,1390,122,Önden Çekiş,415990
Audi,A6,A6 Sedan 2.0 TDI,2009,275000,Otomatik,Dizel,Sedan,1968,136,Önden Çekiş,490000
Audi,A5,A5 Sportback 2.0 TDI Quattro,2015,233000,Yarı Otomatik,Dizel,Hatchback/5,1968,177,4WD (Sürekli),1100000
Audi,A4,A4 Sedan 2.0 TDI,2014,203000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,835000
Audi,A3,A3 Sedan 1.6 TDI Sport Line,2016,166000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,762000
Audi,A4,A4 Sedan 1.6,2005,350000,Düz,Benzin,Sedan,1595,102,Önden Çekiş,279500
Audi,A6,A6 Sedan 2.0 TDI,2006,179000,Düz,Dizel,Sedan,1968,140,Önden Çekiş,440000
Audi,A3,A3 Sedan 30 TDI Design,2019,73816,Yarı Otomatik,Dizel,Sedan,1598,116,Önden Çekiş,775000
Audi,A6,A6 Sedan 40 TDI Quattro Design,2020,87000,Yarı Otomatik,Dizel,Sedan,1968,204,4WD (Sürekli),2750000
Audi,A4,A4 Sedan 1.6,2008,263000,Düz,Benzin,Sedan,1595,102,Önden Çekiş,345000
Audi,A3,A3 Sportback 1.6 Ambiente,2008,225000,Otomatik,LPG & Benzin,Hatchback/3,1595,102,Önden Çekiş,358500
Audi,A5,A5 Sportback 2.0 TFSI,2011,198000,Otomatik,Benzin,Hatchback/5,1984,211,Önden Çekiş,730000
Audi,A4,A4 Sedan 1.8 TFSI,2012,198000,Otomatik,Benzin,Sedan,1798,160,Önden Çekiş,550000
Audi,A3,A3 Sportback 1.4 TFSI Ambiente,2010,215000,Yarı Otomatik,Benzin,Hatchback/5,1390,125,Önden Çekiş,455000
Audi,A4,A4 Sedan 2.0 TDI,2011,250000,Otomatik,Dizel,Sedan,1968,143,Önden Çekiş,495000
Audi,A5,A5 Coupe 2.0 TDI,2011,285000,Otomatik,Dizel,Coupe,1968,177,Önden Çekiş,730000
Audi,A6,A6 Sedan 2.5 TDI,2000,414000,Düz,Dizel,Sedan,2496,150,Önden Çekiş,238900
Audi,A4,A4 Allroad Quattro 2.0 TFSI,2011,175000,Yarı Otomatik,Benzin,Sedan,1900,213,4WD (Sürekli),490000
Audi,A3,A3 Sedan 1.6 TDI Ambiente,2015,143000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,696000
Audi,A6,A6 Sedan 2.0 TDI,2008,215000,Otomatik,Dizel,Sedan,1968,136,Önden Çekiş,465000
Audi,A3,A3 Sedan 1.6 TDI Ambition,2015,145000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,665000
Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017,118000,Yarı Otomatik,Dizel,Sedan,1598,116,Önden Çekiş,739750
Audi,A3,A3 Sportback 1.6 TDI Ambition,2016,152300,Yarı Otomatik,Dizel,Hatchback/5,1598,110,Önden Çekiş,812000
Audi,A6,A6 Sedan 2.0 TDI,2008,294000,Otomatik,Dizel,Sedan,1968,140,Önden Çekiş,430000
Audi,A6,A6 Sedan 2.0 TDI,2013,192000,Düz,Dizel,Sedan,1968,177,Önden Çekiş,1215000
Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017,166000,Yarı Otomatik,Dizel,Sedan,1598,110,Önden Çekiş,728000
Audi,A6,A6 Sedan 2.0 TDI Quattro,2016,258000,Yarı Otomatik,Dizel,Sedan,1968,190,4WD (Sürekli),1319900
Audi,A4,A4 Sedan 2.0 TDI,2012,265000,Yarı Otomatik,Dizel,Sedan,1968,188,Önden Çekiş,780000
Audi,A5,A5 Sportback 2.0 TDI,2014,113000,Düz,Dizel,Hatchback/5,1968,177,Önden Çekiş,1130000
Audi,A4,A4 Sedan 2.0 TDI,2014,318000,Otomatik,Dizel,Sedan,1968,150,Önden Çekiş,640000
Audi,A4,A4 Avant 1.9 TDI,2002,209000,Düz,Dizel,Station wagon,1896,130,Önden Çekiş,355000
Audi,A6,A6 Sedan 2.0 TDI,2014,261150,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,975000
Audi,A6,A6 Sedan 2.0 TDI,2013,213000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,1175000
Audi,A6,A6 Sedan 40 TDI Quattro Sport,2019,67500,Yarı Otomatik,Dizel,Sedan,1968,204,4WD (Sürekli),2820000
Audi,A6,A6 Sedan 2.0 TDI,2014,200000,Otomatik,Dizel,Sedan,1968,177,Önden Çekiş,1270000
Audi,A4,A4 Sedan 2.0 TDI,2011,331000,Otomatik,Dizel,Sedan,1968,143,Önden Çekiş,495000
